,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
154290,2008,BMW,5 Series,528xi,Sedan,,wbanv13588cz57827,pa,3.1,122065.0,gray,black,r hollenshead auto sales inc,7900,8000,Fri Jan 16 2015 01:00:00 GMT-0800 (PST)
252016,2008,BMW,5 Series,528xi,Sedan,,wbanv13588cz57827,pa,3.1,122068.0,gray,black,r hollenshead auto sales inc,7800,7500,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
311639,2008,BMW,5 Series,528xi,Sedan,,wbanv13588cz57827,pa,3.2,122075.0,gray,black,r hollenshead auto sales inc,8500,7600,Fri Feb 13 2015 01:00:00 GMT-0800 (PST)
347471,2008,BMW,5 Series,528xi,Sedan,,wbanv13588cz57827,pa,2.0,122271.0,gray,black,r hollenshead auto sales inc,7925,8000,Fri Feb 20 2015 09:00:00 GMT-0800 (PST)
378010,2008,BMW,5 Series,528xi,Sedan,,wbanv13588cz57827,pa,2.6,122278.0,gray,black,r hollenshead auto sales inc,7875,8500,Fri Feb 27 2015 01:00:00 GMT-0800 (PST)
