,Value,Trend,Lag1,Lag6,Lag5,Lag12,ma3,ma5
Value,1.0,0.8186793669143485,0.8599347366477063,0.9245135288652425,0.8208377051411356,0.9745298544620407,0.7124120535552873,0.7825744946750482
Trend,0.8186793669143485,1.0,0.818511215805564,0.8274231058863154,0.8269116583125637,0.8392312770944931,0.8867401323175181,0.9451403324078034
Lag1,0.8599347366477063,0.818511215805564,1.0,0.8221928322961336,0.6101989139007615,0.8602904016214515,0.8942614589186524,0.8261028162128919
Lag6,0.9245135288652425,0.8274231058863154,0.8221928322961336,1.0,0.8666873557559361,0.92831049912385,0.7024285858640846,0.7931106703290295
Lag5,0.8208377051411356,0.8269116583125637,0.6101989139007615,0.8666873557559361,1.0,0.827336477135314,0.6313093336076997,0.8325427581738739
Lag12,0.9745298544620407,0.8392312770944931,0.8602904016214515,0.92831049912385,0.827336477135314,1.0,0.7267373188723457,0.7967363539919123
ma3,0.7124120535552873,0.8867401323175181,0.8942614589186524,0.7024285858640846,0.6313093336076997,0.7267373188723457,1.0,0.9476437201633316
ma5,0.7825744946750482,0.9451403324078034,0.8261028162128919,0.7931106703290295,0.8325427581738739,0.7967363539919123,0.9476437201633316,1.0
